"API Login ID","API Login ID"
"Authorize and Capture","Authorise and Capture"
"Authorize Only","Authorise Only"
"Authorize.net","Authorize.net"
"Credit Card Types","Credit Card Types"
"Credit Card Verification","Credit Card Verification"
"Debug","Debug"
"Email customer","Email customer"
"Enabled","Enabled"
"Error in authorizing the payment","Error in authorising the payment"
"Error in capturing the payment","Error in capturing the payment"
"Error in payment gateway","Error in payment gateway"
"Error in refunding the payment","Error in refunding the payment"
"Error in refunding the payment.","Error in refunding the payment."
"Error in retrieving the transaction","Error in retrieving the transaction"
"Fraud order status","Fraud order status"
"Gateway request error: %s","Gateway request error: %s"
"Invalid amount for authorization","Invalid amount for authorisation"
"Invalid amount for authorization.","Invalid amount for authorisation."
"Invalid transaction id","Invalid transaction id"
"Merchant Login","Merchant Login"
"Merchant's email","Merchant's email"
"New order status","New order status"
"Partner","Partner"
"Password","Password"
"PayflowPro","PayflowPro"
"Payment Action","Payment Action"
"Payment authorization error.","Payment authorisation error."
"Payment authorization transaction has been declined.","Payment authorisation transaction has been declined."
"Payment from applicable countries","Payment from applicable countries"
"Payment from Specific countries","Payment from Specific countries"
"Sort order","Sort order"
"TENDER","TENDER"
"Test mode","Test mode"
"Title","Title"
"Transaction key","Transaction key"
"URL","URL"
"User","User"
"VERBOSITY","VERBOSITY"
"Voided transaction","Voided transaction"
