"Configuration","Konfiguration"
"General options","Generale indstillinger"
"Is enabled","Er aktiv"
"Display options","Vis indstillingerne"
"Chat label","Chat Emne"
"LiveChat configuration","LiveChat konfiguration"
"LiveChat operators","LiveChat operatører"
"Operators","Operatøre"
"Operators list","Operatør liste"
"Create new operator","Lav ny operatør"
"Operator's data","Operatør data"
"Password","Kodeord"
"Name","Navn"
"Enabled","Aktiv"
"Disabled","Inaktiv"
"Save","Gem"
"Create","Lav"
"Operator %s has been successfully created.","Operatør %s er nu oprettet."
"Operator %s has been successfully modified.","Operatør %s er nu ændret."
"Operator %s has been successfully deleted.","Operatør %s er nu slettet."
"Edit operator","Ændre operatør"
"disabled","inaktiv"
"Send","Send"
"Chat refresh frequency","Chat opdaterings frekvens"
"Chat refresh decay","Chat opdaterings "
"Image style","Billede stil"
"Get chat list","Hent chat liste"
"Get chat messages messages","Hent chat beskeder besked"
"Send message to customer","Send en besked til kunder"
"Operator disconnection","Operatør går offline"
"Operator connection","Operatør går online"
"Title label","Titel emne"
"Unavailable message","Utilgængelig besked"
"Default customer name","Default kunde navn"
"Get new messages","Lav ny besked"
"Get new sessions","Lav en ny session"
"System name","System navn"
"System wait message","System vente besked"
"Customers chat list","Kunde chat liste"
"Customer name","Kunde navn"
"Started at","Startede kl"
"Dispatched to","Vidresendt til"
"Store","Butik"
"State","Stat"
"Not dispatched","Ikke vidresendt"
"Closed","Lukket"
"Close","Luk"
"Open","Åben"
"Are you sure ?","Er du sikker?"
"Total of %d record(s) were successfully deleted","Total %er af det gemte blev slettet"
"Please select chat(s)","Venligst vælg chat"
"Status","Status"
"Online","Online"
"Disconnected","Offline"
"Autor","Forfatter"
"Message","Besked"
"Placed at","Placeret ved"
"Please select message(s)","Venligst vælg besked(er)"
"Delete","Slet"
"-- Session terminated --","-- Chat afsluttet--"
"Total of %d record(s) were successfully closed","Total %er af log er lukket"
"There is no chat available for operator %s","Det er ikke muligt at kontakte denne opratør i %s"
"This session is closed, you cannot send message.","Denne session er lukket, du kan derfor ikke sende beskeder"
"Access denied for %s","Adgang nægtet i %s"
"Operator access","Operatør adgang"
"Operator %s is now disconnected and no longer appear online.","Operatør %s er nu offline og vises ikke mere online"
"Operator %s has just been created configure the store allowed for him <a href=\'%s\'>here</a>.","Operatør %s er nu lavet, konfigurer hvilken butik der skal bruges <a href=\'%s\'>here</a>"
"Admin refresh rate","Admin opdateringshastighed"
"Behaviour","Opførsel"
"On Operator disconnect","Når operatør går offline"
"On chat session close","Når chatten afsluttes"
"On customer connexion","Når kunde forbinder"
"Close dispatched chat session","luk afsendte chat sessioner"
"Undispatch non-closed chat session","ikke afsendte ulukkede chat sessioner"
"Send a close message","Sen en lukke besked"
"Allow to reopen a closed chat session","Tillad at åbne for en lukket chat session"
"Replace the chat session creator name","Ændre Chat sessionens "
"Replace all customer's messages autor name","Ændre alle "
"When the customer sends a message","Når en kunde sender en besked"
"System message when session is automatically created","System besked når en session automatisk laves"
"Chat session creation","Chat session tilblivelse"
"When customer send his first message","Når en kunde sender den første besked"
"Automatically create a new chatsession for everyone","Lav automatisk en ny chat session for alle"
"Automatically create a new chat session for every customer logged in","Lav automatisk en ny chat session for all kunder som er logget ind"
"Customer url","Kunde Url"
"Total of %d record(s) were successfully opened","Total %s log\'s blev åbnet"
"Running chat sessions","Åbne chat sessioner"
"Archived chat sessions","Gennemførte chat sessioner"
"View archived sessions","Se gennemførte sessioner"
"View live sessions","Se live sessioner"
"Back","Tilbage"
"Messages","Beskeder"
"Total of %d record(s) were successfully archived","Total %s log\'s af gennemførte"
"Archive","Gennemførte"
"Close a session","Luk session"
"Display LiveChat box in front office.","Vis Livechat boksen i front office"
"Message refresh interval for customer (in seconds).","Besked opdaterings interval for kunder ( i sekunder )"
"Admin operator page refresh rate (in seconds).","Admin operatør side opdateringshastighed ( i sekunder )"
"Message which is displaying when no operator are online.","Viste besked når operatør ikke er online"
"Name of the customer when not logged in.","Kundens navn når ikke logget ind"
"Sender name of the automatic messages.","Afsenders navn af automatiske besked"
"Message sent when a customer has just started a chat session.","Besked afsendt når en kunde starter en chat session"
"Message sent when a chat has been automatically created.","Besked afsendt nå en chat session laves automatisk"
"The chat session is closed, so no operator can get it.","Chat sessionen er afsluttet. Operatøren får ikke beskeden."
"The chat session is released, so another operator can get it.","Chat sessionen er åben, en anden operatør vil få beskeden."
"If the chat session is not archived the customer can reactivate it by sending a new message.","Hvis beskeden ikke modtages, kan kunden reaktivere chatten ved at sende en ny besked"
"Archived session are definitevely closed. If not chat sessions are only closed.","Afsluttede sessioner er lukket, hvis ikke lukkes chat sessionerne"
"Total of %d record(s) were successfully disconnected","Total af %d log\'s er afsluttet"
"Disconnect","Offline"
"Update existing sessions","Opdatere denne session"
"Maximum number of lines displayed","Max antal liner vist"
"Set 0 to display all lines","Angiv 0 for vis alle linier"
"When the session expire","Når sessionen udløber"
"Archivate the session","Log denne session"
"Session","Session"
"Sessions Live","Session online"
"Display only for registered user","Vis kun dette til registrerede brugere"
"If yes, only connected customer can see the chatbox.","Hvis ja, Er det kun kunder som kan se chatboksen der forbindes"
"Reporting",""
"Convert rate",""
"Chat with order",""
"Chat without order",""
"Hide LiveChat box when no operator are presents",""
"If yes, the chatbox will disapear when no operator are present.",""
"New operator must be affected to a store",""
"The created operator %s must be affected to a store, whithout that he will never be considered online.",""
"Configure",""
"No store affected",""
"Affected stores",""
