"Configuration","Configuration"
"General options","Options g&eacute;n&eacute;rales"
"Is enabled","Activ&eacute;"
"Display options","Options d'affichage"
"Chat label","Accroche"
"LiveChat configuration","Configuration LiveChat"
"LiveChat operators","Op&eacute;rateurs LiveChat"
"Operators","Op&eacute;rateurs"
"Operators list","Liste des op&eacute;rateurs"
"Create new operator","Cr&eacute;er un nouvel op&eacute;rateur"
"Operator's data","Donn&eacute;es de l'op&eacute;rateur"
"Password","Mot de passe"
"Name","Nom"
"Enabled","Activ&eacute;"
"Disabled","D&eacute;sactiv&eacute;"
"Save","Sauvegarder"
"Create","Cr&eacute;er"
"Operator %s has been successfully created.","L'op&eacute;rateur %s a &eacute;t&eacute; correctement cr&eacute;&eacute;."
"Operator %s has been successfully modified.","L'op&eacute;rateur %s a &eacute;t&eacute; correctement modifi&eacute;."
"Operator %s has been successfully deleted.","L'op&eacute;rateur %s a &eacute;t&eacute; correctement effac&eacute;."
"Edit operator","Modifier un op&eacute;rateur"
"disabled","d&eacute;sactiv&eacute;"
"Send","Envoyer"
"Chat refresh frequency","Fr&eacute;quence de rafraichissement du chat"
"Chat refresh decay","Fr&eacute;quence d'alt&eacute;ration du rafraichissement"
"Image style","Style de l'image"
"Get chat list","Récupérer la liste des chats"
"Get chat messages messages","Récupérer les messages d'un chat"
"Send message to customer","Envoyer un message à un client"
"Operator disconnection","Déconnection de l'opérateur"
"Operator connection","Connection de l'opérateur"
"Title label","Libell&eacute; du titre"
"Unavailable message","Message d'indisponibilit&eacute;"
"Default customer name","Nom du client par d&eacute;faut"
"Get new messages","Récupérer les nouveaux messages"
"Get new sessions","Récupérer les nouveaux chat"
"System name","Nom du syst&egrave;me"
"System wait message","Message d'attente syst&egrave;me"
"Customers chat list","Liste des t'chats client"
"Customer name","Nom du client"
"Started at","D&eacute;marr&eacute; &agrave;"
"Dispatched to","Distribu&eacute; &agrave;"
"Store","Magasin"
"State","Etat"
"Not dispatched","Non distribué"
"Closed","Ferm&eacute;"
"Close","Fermer"
"Open","Ouvert"
"Are you sure ?","Etes vous sûr ?"
"Total of %d record(s) were successfully deleted","Un total de %d enregistrement(s) ont &eacute;t&eacute; supprim&eacute;(s) avec succ&egrave;s"
"Please select chat(s)","Veuillez s&eacute;lectionner des t'chats"
"Operators list","Liste des op&eacute;rateurs"
"Status","Status"
"Online","En ligne"
"Disconnected","D&eacute;connect&eacute;"
"Autor","Auteur"
"Message","Message"
"Placed at","Post&eacute; &agrave;"
"Please select message(s)","Veuillez s&eacute;lectionner des messages"
"Delete","Supprimer"
"-- Session terminated --","-- Fin de session --"
"Total of %d record(s) were successfully closed","Un total de %d enregistrement(s) ont &eacute;t&eacute; ferm&eacute;(s) avec succ&egrave;s"
"There is no chat available for operator %s","Il n'y a pas de t'chat disponible pour l'op&eacute;rateur %s"
"This session is closed, you cannot send message.","Cette session est termin&eacute;e, vous ne pouvez plus envoyer de message."
"Access denied for %s","Acc&egrave;s refus&eacute; pour %s"
"Operator access","Acc&egrave;s op&eacute;rateur"
"Operator %s is now disconnected and no longer appear online.","L'op&eacute;rateur %s est d&eacute;sormais d&eacute;connect&eacute; et n'apparait plus en ligne."
"Operator %s has just been created configure the store allowed for him <a href=\'%s\'>here</a>.","L'op&eacute;rateur %s vient juste d'&ecirc;tre cr&eacute;&eacute;, assurez vous de lui affecter des boutiques <a href='%s'>ici</a>"
"Admin refresh rate","Fr&eacute;quence de rafraichissement admin"
"Behaviour","Comportement"
"On Operator disconnect","A la d&eacute;connection d'un op&eacute;rateur"
"On chat session close","A la fermeture d'une session de t'chat"
"On customer connexion","A la connection d'un client"
"Close dispatched chat session","Fermer les sessions de t'chat distribu&eacute;es"
"Undispatch non-closed chat session","D&eacute;sattribue les sessions de t'chat non-termin&eacute;e"
"Send a close message","Envoyer un message de fermeture"
"Allow to reopen a closed chat session","Autoriser la r&eacute;ouverture d'une session de t'chat ferm&eacute;e"
"Replace the chat session creator name","Remplacer le nom du cr&eacute;ateur de la session de t'chat"
"Replace all customer's messages autor name","Remplacer le nom du client dans tous ses messages"
"When the customer sends a message","Quand le client envoi un message"
"System message when session is automatically created","Message syst&egrave;me lors de la cr&eacute;ation automatique d'une session de t'chat"
"Chat session creation","Cr&eacute;ation des sessions de t'chat"
"When customer send his first message","Quand le client envoi son premier message"
"Automatically create a new chatsession for everyone","Cr&eacute;er automatiquement une nouvelle session de t'chat pour tout le monde"
"Automatically create a new chat session for every customer logged in","Cr&eacute;er automatiquement une nouvelle session de t'chat pour tous les clients connect&eacute;"
"Customer url","Url du client"
"Total of %d record(s) were successfully opened","Un total de %d enregistrement(s) ont &eacute;t&eacute; ouvert(s) avec succ&egrave;s"
"Running chat sessions","Sessions de t'chat en cours"
"Archived chat sessions","Sessions de t'chat archiv&eacute;es"
"View archived sessions","Voir les sessions archiv&eacute;es"
"View live sessions","Voir les sessions en cours"
"Back","Retour"
"Messages","Messages"
"Total of %d record(s) were successfully archived","Un total de %d enregistrement(s) ont &eacute;t&eacute; archiv&eacute;(s) avec succ&egrave;s"
"Archive","Archiver"
"Close a session","Fermer une session"
"Display LiveChat box in front office.","Affiche la bo&icirc;te LiveChat dans le front-office."
"Message refresh interval for customer (in seconds).","Intervalle de rafraichissement des messages pour le client (en secondes)."
"Admin operator page refresh rate (in seconds).","Vitesse de rafraichissement de la page admin : acc&egrave;s op&eacute;rateur (en secondes)."
"Message which is displaying when no operator are online.","Message s'affichant quand aucun op&eacute;rateur n'est en ligne."
