"Configuration","Beállítás"
"General options","Alapvető beállítások"
"Is enabled","Engedélyezve"
"Display options","Megjelenés"
"Chat label","Chat cím"
"LiveChat configuration","Élő segítségnyújtás beállítások"
"LiveChat operators","Online operátorok"
"Operators","Operátor"
"Operators list","Operátorok listája"
"Create new operator","Új operátor hozzáadása"
"Operator's data","Operátor adatai"
"Password","Jelszó"
"Name","Név"
"Enabled","Engedélyezett"
"Disabled","Nem engedélyezett"
"Save","Mentés"
"Create","Létrehoz"
"Operator %s has been successfully created.","Operátor (%s) sikeresen létrehozva."
"Operator %s has been successfully modified.","Operátor (%s) sikeresen módosítva."
"Operator %s has been successfully deleted.","Operátor (%s) sikeresen törölve."
"Edit operator","Operátor szerkesztése"
"disabled","Letiltva"
"Send","Küld"
"Chat refresh frequency","Chat frissítés gyakorisága"
"Chat refresh decay","Chat frissítés csökkentése"
"Image style","Chatlogo"
"Get chat list","Chat lista betöltése"
"Get chat messages messages","Chat üzenetek betöltése"
"Send message to customer","Üzenet küldése a vásárlónak"
"Operator disconnection","Operátor kapcsolat bontása"
"Operator connection","Operátor csatlakozás"
"Title label","Címsor"
"Unavailable message","Elérhetetlen üzenet"
"Default customer name","Alapértelmezett vásárló név"
"Get new messages","Új üzenetek betöltése"
"Get new sessions","Új session kezdete"
"System name","Rendszer neve"
"System wait message","Rendszer várakozó üzenet"
"Customers chat list","Vásárlók chat listája"
"Customer name","Vásárló neve"
"Started at","Kezdés"
"Dispatched to","Elküldve neki"
"Store","Bolt"
"State","Státusz"
"Not dispatched","Nincs elküldve"
"Closed","Bezárva"
"Close","Bezár"
"Open","Nyitott"
"Are you sure ?","Biztos benne?"
"Total of %d record(s) were successfully deleted","Összesen %d rekord sikeresen törölve."
"Please select chat(s)","Chat kiválasztása"
"Operators list","Operátorok listája"
"Status","Státusz"
"Online","Online"
"Disconnected","Szétkapcsolva"
"Autor","Szerző"
"Message","Üzenet"
"Placed at","Forrás"
"Please select message(s)","Válassza ki az üzenetet"
"Delete","Töröl"
"-- Session terminated --","-- Kapcsolat megszakítva --"
"Total of %d record(s) were successfully closed","Összesen %d kapcsolat sikeresen lezárva"
"There is no chat available for operator %s","Nincs elérhető beszélgetés %s nevű operátor számára"
"This session is closed, you cannot send message.","A kapcsolat lezárva, nem küldhet üzenetet"
"Access denied for %s","Hozzáférés megtagadva %s számára"
"Operator access","Operátor hozzáférés"
"Operator %s is now disconnected and no longer appear online.","%s nevű operátor nincs kapcsolatban, és tovább nem elérhető."
"Operator %s has just been created configure the store allowed for him <a href=\'%s\'>here</a>.","%s számára elérhető a bolt konfigurálása<a href=\'%s\'>itt</a>."
"Admin refresh rate","Admin frisítés gyakorisága"
"Behaviour","Működés"
"On Operator disconnect","Egy operátor lecsatlakozott"
"On chat session close","A beszélgetés bezárásakor"
"On customer connexion","Vásárló csatlakozásakor"
"Close dispatched chat session","Elévült beszélgetés bezárása"
"Undispatch non-closed chat session","Nyitott beszélgetések felélesztése"
"Send a close message","Záró üzenet küldése"
"Allow to reopen a closed chat session","Lezárt beszélgetések megnyitásának engedélyezése"
"Replace the chat session creator name","A beszélgetést kezdeményező nevének cseréje"
"Replace all customer's messages autor name","Minden vevő üzenet szerző nevének cseréje"
"When the customer sends a message","Ha a vásárló küld egy üzenetet"
"System message when session is automatically created","Rendszerüzenet ha a kapcsolat automatikusan létrejön"
"Chat session creation","Beszélgetés létrehozása"
"When customer send his first message","Ha a vásárló elküldi első üzenetét"
"Automatically create a new chatsession for everyone","Automatikusan hozzon létre új kapcsolatot mindenki számára"
"Automatically create a new chat session for every customer logged in","Automatikusan hozzon létre kapcsolatot minden bejelentkezett vevő számára"
"Customer url","Vásárló url"
