"Configuration","Cấu hình"
"General options","Tổng hợp các tùy chọn"
"Is enabled","Được kích hoạt"
"Display options","Hiển thị lựa chọn "
"Chat label","Trò chuyện"
"LiveChat configuration","LiveChat cấu hình"
"LiveChat operators","LiveChat vận hành"
"Operators","Vận hành"
"Operators list","Vận hành trong danh sách"
"Create new operator","Tạo mới nhà điều hành"
"Operator's data","Nhà điều hành của dữ liệu"
"Password","Mật khẩu"
"Name","Tên"
"Enabled","Kích hoạt"
"Disabled","Đình chỉ"
"Save","Lưu"
"Create","Tạo"
"Operator %s has been successfully created.","Nhà điều hành% s đã được tạo thành công."
"Operator %s has been successfully modified.","Nhà điều hành% s đã được sửa đổi thành công"
"Operator %s has been successfully deleted.","Nhà điều hành% s đã được xóa thành công."
"Edit operator","Sửa nhà điều hành "
"disabled","Tắt"
"Send","Gửi"
"Chat refresh frequency","Trò chuyện tần số làm mới "
"Chat refresh decay","Trò chuyện làm tiêu tan"
"Image style","Hình ảnh theo phong cách "
"Get chat list","Nhận danh sách trò chuyện "
"Get chat messages messages","Hãy trò chuyện tin nhắn tin nhắn "
"Send message to customer","Gửi tin nhắn đến khách hàng"
"Operator disconnection","Nhà điều hành phân ly "
"Operator connection"," Nhà điều hành kết nối "
"Title label","Tiêu đề của nhãn"
"Unavailable message","Không có tin nhắn "
"Default customer name","Mặc định tên của khách hàng "
"Get new messages","Nhận bài viết mới "
"Get new sessions","Nhận phiên mới "
"System name","Hệ thống tên"
"System wait message","Hệ thống tin nhắn chờ "
"Customers chat list"," Khách hàng trong danh sách trò chuyện"
"Customer name","Tên khách hàng "
"Started at"," Bắt đầu tại"
"Dispatched to","Dispatched để"
"Store","Chứa "
"State","Nói "
"Not dispatched","Không dispatched "
"Closed","Đóng cửa "
"Close","Đóng "
"Open","Mở"
"Are you sure ?"," Bạn có chắc chắn? "
"Total of %d record(s) were successfully deleted","Tổng số hồ sơ trong số% d (s) đã được xóa thành công"
"Please select chat(s)","Xin vui lòng lựa chọn trò chuyện (s)"
"Status"," Tình trạng "
"Online","Trực tuyến"
"Disconnected"," Disconnected "
"Autor","Tác giả"
"Message","Thông báo "
"Placed at","Đặt tại "
"Please select message(s)","Xin vui lòng lựa chọn tin nhắn (s) "
"Delete","Xoá "
"-- Session terminated --"," - Chấm dứt Session -- "
"Total of %d record(s) were successfully closed"," Tổng số hồ sơ trong số% d (s) đã được đóng thành công "
"There is no chat available for operator %s","Không có trò chuyện có sẵn cho các nhà điều hành% s "
"This session is closed, you cannot send message."," Đây là phiên đóng cửa, bạn không thể gửi tin nhắn."
"Access denied for %s","Truy cập bị từ chối cho% s "
"Operator access","Nhà điều hành truy cập "
"Operator %s is now disconnected and no longer appear online.","Nhà điều hành% s bây giờ ngưng kết nối và không còn xuất hiện trực tuyến. "
"Operator %s has just been created configure the store allowed for him <a href=\'%s\'>here</a>.","Nhà điều hành% s đã được tạo cấu hình lưu trữ cho phép cho anh ta <a href=\'%s\'> ở đây </ a>. "
"Admin refresh rate","Admin tỷ lệ làm mới "
"Behaviour","Hành vi "
"On Operator disconnect","Ngày Operator ngắt"
"On chat session close","Ngày đóng cửa phiên chat "
"On customer connexion","Ngày của khách hàng liên quan "
"Close dispatched chat session","Đóng dispatched phiên chat "
"Undispatch non-closed chat session","Undispatch không phải đóng cửa phiên chat "
"Send a close message","Gửi một bài viết gần"
"Allow to reopen a closed chat session","Cho phép người dùng đóng reopen một phiên chat"
"Replace the chat session creator name","Thay thế các phiên chat tạo tên"
"Replace all customer's messages autor name","Thay thế tất cả các bài viết của khách hàng tên tác giả "
"When the customer sends a message","Khi khách hàng gửi tin nhắn"
"System message when session is automatically created","Hệ thống thông báo khi phiên được tự động tạo ra "
"Chat session creation","Trò chuyện buổi sáng tạo "
"When customer send his first message","Khi khách hàng gửi cho mình bài viết đầu tiên "
"Automatically create a new chatsession for everyone","Tự động tạo ra một chatsession mới cho tất cả mọi người "
"Automatically create a new chat session for every customer logged in","Tự động tạo ra một phiên chat mới cho mỗi khách hàng đăng nhập"
"Customer url","Url của khách hàng "
"Total of %d record(s) were successfully opened","Tổng số hồ sơ trong số% d (s) đã được thành công đã mở "
"Running chat sessions","Chạy các buổi trò chuyện"
"Archived chat sessions","Lưu trữ các buổi trò chuyện"
"View archived sessions","Xem lưu trư phiên "
"View live sessions","Xem các buổi sinh sống "
"Back","Quay lại "
"Messages","Tin nhắn "
"Total of %d record(s) were successfully archived","Tổng số hồ sơ trong số% d (s) đã được lưu thành công"
"Archive","Lưu trữ"
"Close a session","Đóng một phiên"
"Display LiveChat box in front office.","Hiển thị LiveChat hộp ở phía trước văn phòng. "
"Message refresh interval for customer (in seconds).","Thông báo gian làm mới cho khách hàng (trong vài giây). "
"Admin operator page refresh rate (in seconds).","Admin làm mới trang nhà điều hành tỷ lệ (trong vài giây). "
"Message which is displaying when no operator are online.","Thông báo được hiển thị khi không có nhà điều hành đang online."
"Name of the customer when not logged in.","Tên của khách hàng khi không đăng nhập "
"Sender name of the automatic messages.","Tên của người gửi tin nhắn tự động."
"Message sent when a customer has just started a chat session.","Thông báo đã được gửi khi một khách hàng vừa bắt đầu một phiên chat."
"Message sent when a chat has been automatically created.","Thông báo đã được gửi khi một trò chuyện đã được tự động tạo ra. "
"The chat session is closed, so no operator can get it.","Các phiên chat được đóng lại, do đó, không có nhà điều hành có thể nhận được nó. "
"The chat session is released, so another operator can get it.","Các phiên chat được phát hành, do đó, nhà điều hành khác có thể làm cho nó."
"If the chat session is not archived the customer can reactivate it by sending a new message.","Nếu các phiên chat không phải là khách hàng có thể lưu trữ kích hoạt lại nó bằng cách gửi một tin nhắn mới."
"Archived session are definitevely closed. If not chat sessions are only closed.","Lưu trư definitevely là phiên đóng cửa. If not chat sessions are only closed. Nếu không có buổi trò chuyện chỉ được đóng lại. "
"Total of %d record(s) were successfully disconnected","Tổng số hồ sơ trong số% d (s) đã được thành công ngàõt "
"Disconnect","Ngắt kết nối "
"Update existing sessions","Cập nhật hiện có phiên "
"Maximum number of lines displayed","Tối đa số dòng được hiển thị "
"Set 0 to display all lines","Đặt 0 để hiển thị tất cả các dòng"
"When the session expire","Khi hết hạn phiên "
"Archivate the session","Archivate phiên "
"Session","Phiên "
"Sessions Live","Phiên Live "
"Display only for registered user","Hiển thị chỉ dành cho người dùng đăng ký"
"If yes, only connected customer can see the chatbox.","Nếu có, chỉ có kết nối khách hàng có thể nhìn thấy chatbox."
"Reporting",""
"Convert rate",""
"Chat with order",""
"Chat without order",""
"Hide LiveChat box when no operator are presents",""
"If yes, the chatbox will disapear when no operator are present.",""
"New operator must be affected to a store",""
"The created operator %s must be affected to a store, whithout that he will never be considered online.",""
"Configure",""
"No store affected",""
"Affected stores",""
